asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0CMTLGC9W,"Kids Smart Phone for Girls, Christmas Birthday Gifts for Girls Age 3-10 Kids Toys Cell Phone, 2.8&quot; Touchscreen Toddler Learning Play Toy Phone with Dual Camera, Game, Music Player, 8G SD Card (Purple)",$35.90,$39.99,USD,4.2,1160,https://www.amazon.com/dp/B0CMTLGC9W,https://m.media-amazon.com/images/I/71dwraR96OL._AC_UY654_FMwebp_QL65_.jpg,1,$35.90,True,False,True,False,4K+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",$60.71,$65.95,USD,4.4,479,https://www.amazon.com/dp/B0B8F1S1XG,https://m.media-amazon.com/images/I/71fPZrfv6aL._AC_UY654_FMwebp_QL65_.jpg,6,$19.20,False,False,True,False,500+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0D4SWRPM4,Panasonic KX-TG994 DECT 6.0 Bluetooth 4-Handset Phone Bundle (Renewed),$59.99,$89.97,USD,5,1,https://www.amazon.com/dp/B0D4SWRPM4,https://m.media-amazon.com/images/I/81AxAgS8C+L._AC_UY654_FMwebp_QL65_.jpg,1,$59.99,False,False,False,False,100+ bought in past month,"FREE delivery Aug 2 - 6 Or fastest delivery Tomorrow, Jul 31",False
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",$449.00,$499.00,USD,4.3,201,https://www.amazon.com/dp/B0CYQ916ZY,https://m.media-amazon.com/images/I/71n1Bn04lJL._AC_UY654_FMwebp_QL65_.jpg,2,$348.80,False,False,True,False,1K+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",True
B07D2BHBYR,"AT&amp;T CL84107 DECT 6.0 Expandable Corded/Cordless Phone with Smart Call Blocker, Black/Silver with 1 Handset",$73.54,,USD,4.4,5626,https://www.amazon.com/dp/B07D2BHBYR,https://m.media-amazon.com/images/I/71hUFlVKtDL._AC_UY654_FMwebp_QL65_.jpg,2,$29.81,False,False,True,False,200+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B07HB15NMK,AT&amp;T EL52513 5-Handset Cordless Phone with Answering System &amp; XL Backlit Keys,$93.50,$109.95,USD,4.3,18473,https://www.amazon.com/dp/B07HB15NMK,https://m.media-amazon.com/images/I/71mFpzIRgaL._AC_UY654_FMwebp_QL65_.jpg,2,$39.95,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B01LZV2HVG,"Panasonic Amplified Cordless Phone with Slow Talk, 40dB Volume Boost, 100dB Loud Visual Ringer, Hearing Aid Compatibility, Large Screen and Backlit Keypad - KX-TGM420W - 1 Handset (White)",$106.81,$119.99,USD,4.3,1425,https://www.amazon.com/dp/B01LZV2HVG,https://m.media-amazon.com/images/I/71S3Vj8k-fL._AC_UY654_FMwebp_QL65_.jpg,34,$39.99,False,False,True,False,300+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B001S2PKPE,"AT&amp;T CL2909 Corded Phone with Speakerphone and Caller ID/Call Waiting, White",$34.19,,USD,4.1,4369,https://www.amazon.com/dp/B001S2PKPE,https://m.media-amazon.com/images/I/71rVLKNXpKL._AC_UY654_FMwebp_QL65_.jpg,22,$14.27,False,False,True,False,400+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B0929127RH,"VTech IS8121-3 Super Long Range up to 2300 Feet DECT 6.0 Bluetooth 3 Handset Cordless Phone for Home with Answering Machine, Call Blocking, Connect to Cell, Intercom and Expandable to 5 Handsets",$80.58,,USD,4.2,3977,https://www.amazon.com/dp/B0929127RH,https://m.media-amazon.com/images/I/81sBAnU461S._AC_UY654_FMwebp_QL65_.jpg,4,$43.12,False,False,True,False,200+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B088MKVYTF,"Alcatel SMARTFLIP 4052R | 4G LTE | 4GB Flip-Phone | Bluetooth, WiFi, Big Buttons | Carrier locked to AT&amp;T. Phone is not unlocked - Volcano Black",$42.99,,USD,3.9,523,https://www.amazon.com/dp/B088MKVYTF,https://m.media-amazon.com/images/I/41TEXV9CMjL._AC_UY654_FMwebp_QL65_.jpg,11,$36.75,False,False,True,False,More Buying Choices,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B07ZHNVL55,AT&amp;T Radiant Core U304AA Prepaid Cell 4G Phone - Gray - Carirer Locked to AT&amp;T Wireless,$39.99,,USD,3.4,342,https://www.amazon.com/dp/B07ZHNVL55,https://m.media-amazon.com/images/I/61V4nRFo7PL._AC_UY654_FMwebp_QL65_.jpg,2,$34.93,False,False,True,False,50+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B00V5ZJXNE,PANASONIC Corded/Cordless Phone System with Answering Machine and One Touch Call Blocking – 3 Handsets - KX-TGF353N (Champagne Gold),$114.11,$119.99,USD,4.4,2021,https://www.amazon.com/dp/B00V5ZJXNE,https://m.media-amazon.com/images/I/71yNyLRbBAL._AC_UY654_FMwebp_QL65_.jpg,11,$70.53,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B07Z6Q9NCZ,BLU Advance L5 | 2020 | Long Lasting Battery | Unlocked | 4.0” Display | 16GB | 5MP Camera | US Warranty | Black,,,,3.3,3022,https://www.amazon.com/dp/B07Z6Q9NCZ,https://m.media-amazon.com/images/I/81jiDuurcEL._AC_UY654_FMwebp_QL65_.jpg,1,,False,False,False,False,100+ bought in past month,,False
B0BNMFH1S2,"VTECH VG101-21 Two Handset Cordless Phone, Blue-White Backlit Display, Backlit Buttons, Full Duplex Speakerphone, Caller ID/Call Waiting",$28.85,,USD,4.3,8809,https://www.amazon.com/dp/B0BNMFH1S2,https://m.media-amazon.com/images/I/816pgdX53bL._AC_UY654_FMwebp_QL65_.jpg,2,$23.34,False,False,True,False,900+ bought in past month,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B0CYGZFC54,"Mini phone, 2.5 Inch 3G mini smartphone 2GB RAM 16GB ROM Backup Cellphone Lightweight 5MP Student Cellphone Unlocked Quad Core",$41.99,,USD,2.8,10,https://www.amazon.com/dp/B0CYGZFC54,https://m.media-amazon.com/images/I/618KathhnyL._AC_UY654_FMwebp_QL65_.jpg,1,$41.99,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0C89T8MXN,Gimbal Stabilizer Smartphone iPhone Video: iPhone Stabilizer Gimbal Smartphone Foldable 3-Axis Handheld Portable Android Gimbal TikTok YouTube Vlog Recording AOCHUAN Smart XE Series (Smart XE KIT),$85.99,,USD,4.1,1168,https://www.amazon.com/dp/B0C89T8MXN,https://m.media-amazon.com/images/I/61kxd3Yj+KL._AC_UY654_FMwebp_QL65_.jpg,3,$68.08,True,False,True,False,1K+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0735PHL5N,"AT&amp;T CL83207 DECT 6.0 Expandable Cordless Phone with Smart Call Blocker, Silver/Black with 2 Handsets",$72.59,$76.95,USD,4.3,3731,https://www.amazon.com/dp/B0735PHL5N,https://m.media-amazon.com/images/I/71RwUSOnQ5L._AC_UY654_FMwebp_QL65_.jpg,3,$26.69,False,False,True,False,100+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B06X1B444W,"VTech Connect to Cell DS6771-3 DECT 6.0 Cordless Phone - Black, Silver, 6.9&quot; x 4&quot; x 6.6&quot;",$78.43,$109.99,USD,4.1,2515,https://www.amazon.com/dp/B06X1B444W,https://m.media-amazon.com/images/I/81jJiQkLMfL._AC_UY654_FMwebp_QL65_.jpg,41,$38.57,False,False,False,False,200+ bought in past month,FREE delivery Aug 1 - 2,False
